course_number,prerequisites,quarters_offered,credits,tags,difficulty_rating,mean_instructor_rating,mean_enrollment_cap,mean_enrollment_total,mean_final_waitlist,enrollment_demand_score,avg_gpa
CSE 3,NONE,"Fall, Winter, Spring",5,intro,1,4.6,198,139,0,0.702,3.55
CSE 12,CSE 5J or CSE 20 or CSE 30 or BME 160,"Fall, Winter, Spring",7,systems,2,3.3,220,213,2,0.977,3.38
CSE 13S,CSE 12 or BME 160,"Fall, Winter, Spring",7,programming,3,3.9,151,129,2,0.868,3.36
CSE 16,MATH 19A or MATH 19B or MATH 11B or AM 11B or AM 15B or Econ 11B,"Fall, Winter, Spring",5,theory,2,2.4,183,177,13,1.038,2.99
CSE 20,NONE,"Fall, Winter, Spring",5,intro,1,3.6,171,166,13,1.047,3.35
CSE 30,CSE 20 or BME 160; and MATH 3 or MATH 11A or MATH 19A or AM 3 or AM 11A or ECON 11A,"Fall, Winter, Spring",7,programming,2,3.5,148,141,6,0.993,3.62
CSE 40,"MATH 19B OR MATH 20B, AND CSE 30","Fall, Winter, Spring",5,ML,1,3.5,203,197,2,0.98,3.40
CSE 80A,NONE,Fall,5,HCI,1,4.1,60,41,1,0.7,3.30
CSE 80N,NONE,"Fall, Winter, Spring",5,systems,2,3.7,120,98,1,0.825,3.67
CSE 100,CSE 12; previous or concurrent enrollment in CSE 100L is required.,"Fall, Winter, Spring",5,hardware,2,4.2,80,106,17,1.538,3.16
CSE 100L,CSE 12; previous or concurrent enrollment in CSE 100 is required.,"Fall, Winter, Spring",2,hardware,2,4.2,20,26,4,1.5,3.15
CSE 101,CSE 12 or BME 160; CSE 13E or ECE 13 or CSE 13S; and CSE 16; and CSE 30; and MATH 11B or MATH 19B or MATH 20B or AM 11B or ECON 11B.,"Fall, Winter, Spring",5,theory,3,3.12,203,192,24,1.064,3.13
CSE 101M,CSE 101,"Fall, Winter",5,theory,2,4.2,120,96,0,0.8,2.87
CSE 101P,CSE 16; and CSE 20 or CSE 20 Test Out; and CSE 30; and MATH 11B or MATH 19B or MATH 20B or AM 11B.,Spring,5,theory,3,2.8,30,16,0,0.53,N/A
CSE 102,CSE 101,"Fall, Winter, Spring",5,theory,3,3.1,202,198,13,1.045,3.06
CSE 103,CSE 101,"Winter, Spring",5,theory,3,3.4,224,230,10,1.071,3.12
CSE 105,CSE 102,Spring,5,theory,3,3.9,60,30,0,0.5,2.66
CSE 107,CSE 16; and AM 30 or MATH 22 or MATH 23A.,"Fall, Winter, Spring",5,theory,3,3.7,182,178,1,0.984,3.1
CSE 108,CSE 101,Fall,5,security,3,3.9,150,112,1,0.753,3.66
CSE 108C,CSE 108 or CSE 132,Winter,5,security,3,3.9,55,35,1,0.655,3.60
CSE 109,PHYS 5A; and PHYS 116A or MATH 21 or AM 10,Spring,5,theory,2,1.4,74,53,4,0.77,2.20
CSE 110A,CSE 12 AND CSE 101,Spring,5,systems,3,N/A,120,110,0,0.917,2.80
CSE 111,CSE 15 and CSE 15L; or CSE 13S and CMPM 35; or CSE 13E and CMPM 35; or ECE 13 and CMPM 35; or CSE 101.,Winter,5,programming,2,4,180,104,0,0.578,3.80
CSE 113,CSE 12 AND CSE 101,Fall,5,systems,3,4.4,120,106,4,0.917,3.25
CSE 114A,CSE 101,"Fall, Winter, Spring",5,theory,3,4.2,150,149,31,1.2,3.19
CSE 115A,satisfaction of the Entry Level Writing and Composition requirements and CSE 101 and CSE 130,"Fall, Winter, Spring",5,programming,3,2.4,126,118,10,1.016,3.84
